iter	F1	Logloss
0	0.8828871329	0.5662498548
1	0.8980757667	0.4808610566
2	0.8966667931	0.4123985355
3	0.8969481526	0.3688325156
4	0.8947368421	0.3422485658
5	0.8954726274	0.3223713959
6	0.8980838865	0.3060389197
7	0.8996044453	0.2916730635
8	0.8997577226	0.2789786286
9	0.900827383	0.2716650581
10	0.900935004	0.2641980343
11	0.9023012473	0.2578293065
12	0.9034537786	0.2524994882
13	0.9049230184	0.248310884
14	0.9051871556	0.244447855
15	0.9057506168	0.2412460286
16	0.906520091	0.2388037401
17	0.9067192477	0.2365596179
18	0.9076445185	0.2345145005
19	0.9081814392	0.2328100187
20	0.9081261371	0.2314270789
21	0.9089186936	0.2299315627
22	0.9087188814	0.2288604309
23	0.9089806745	0.2279757749
24	0.9094765548	0.2267003239
25	0.9099644397	0.2255121495
26	0.9100605144	0.2248030231
27	0.9104460671	0.2228691011
28	0.9105764866	0.222097417
29	0.9112613804	0.2213527438
30	0.9110481586	0.2206585406
31	0.9110540622	0.2200406904
32	0.9112184811	0.2196878767
33	0.9107729487	0.2191696243
34	0.9110481586	0.2189056925
35	0.9114449645	0.2180538982
36	0.9115194506	0.2176778558
37	0.9117935562	0.2172122299
38	0.9120543294	0.2163481432
39	0.9122052443	0.2161161833
40	0.9122118686	0.2158074623
41	0.9123481934	0.2152758863
42	0.9123270108	0.2150230122
43	0.9123878459	0.2147904968
44	0.9127026008	0.2142268244
45	0.9125386413	0.2140226054
46	0.9129697335	0.213582487
47	0.9135514019	0.2131363052
48	0.9135514019	0.2127074588
49	0.9134285607	0.2126367425
50	0.9133187608	0.212429248
51	0.913277805	0.2124291745
52	0.9136118751	0.2122024808
53	0.9134054013	0.2119800923
54	0.9132268756	0.2117146941
55	0.9135216573	0.2115604762
56	0.9137132311	0.2114860351
57	0.913747646	0.2112606127
58	0.9138080355	0.2111472192
59	0.9137736275	0.2110564156
60	0.9137327258	0.2109947743
61	0.9137541428	0.2106644629
62	0.9136918211	0.2106010253
63	0.9139392113	0.2103179299
64	0.914272806	0.2098659348
65	0.9140469109	0.2097775774
66	0.9141501619	0.2096711125
67	0.9140683838	0.2094353698
68	0.9139716125	0.2093346265
69	0.9141695528	0.209177877
70	0.9140254461	0.2091224896
71	0.9141092744	0.208874203
72	0.9142254688	0.2087853993
73	0.914272806	0.2086126497
74	0.9143545533	0.2085862154
75	0.9144169585	0.2082639111
76	0.9149480656	0.2079198384
77	0.9149480656	0.2079198264
78	0.9149008243	0.2076920937
79	0.9148103552	0.2073360281
80	0.9149608669	0.2072388648
81	0.9151866346	0.2071597496
82	0.9149048228	0.2070014508
83	0.914945642	0.2068594303
84	0.914945642	0.2067990906
85	0.9151152732	0.2065573031
86	0.9150336631	0.2064524598
87	0.9150400542	0.2064194639
88	0.9154288723	0.2061868619
89	0.9154696548	0.2060511233
90	0.9154696548	0.2057785391
91	0.9154569387	0.2056785597
92	0.9155729382	0.2053334911
93	0.9154569387	0.2051774193
94	0.9154632972	0.2051509296
95	0.915742377	0.2048274224
96	0.9157142857	0.2045714714
97	0.9159932344	0.2042886152
98	0.915999549	0.2040920173
99	0.9163879599	0.2038829593
100	0.9165789869	0.203730088
101	0.916597791	0.2036768132
102	0.9168701401	0.2034733172
103	0.9166322275	0.203332291
104	0.9167950115	0.203228848
105	0.9167073675	0.203080233
106	0.9167543201	0.203005146
107	0.916904583	0.2029604379
108	0.9171362031	0.2028676259
109	0.9170203974	0.2027636161
110	0.9168763851	0.2026704919
111	0.9170390957	0.2026549823
112	0.9171204326	0.2026030449
113	0.9171610965	0.2025632221
114	0.9171108942	0.2024517001
115	0.9171797567	0.2023786266
116	0.9173485474	0.2022889369
117	0.9170702406	0.2022611218
118	0.917367157	0.2019146616
119	0.9173389366	0.2018102124
120	0.9176355862	0.2017090987
121	0.9177450208	0.2016697488
122	0.9177105994	0.2014203533
123	0.9177414517	0.2012422125
124	0.9176947017	0.2010220487
125	0.917763528	0.2009329075
126	0.9177979449	0.2009197896
127	0.9180758127	0.2005519009
128	0.9179787075	0.2003551223
129	0.9181729543	0.2002719875
130	0.9181508005	0.2001609122
131	0.918163074	0.1998677392
132	0.9181876101	0.1996794403
133	0.9183375183	0.1996266934
134	0.9185401679	0.1995182261
135	0.9184935357	0.1994530503
136	0.9187488294	0.1992784047
137	0.9188176676	0.1991783121
138	0.9188804376	0.1991095025
139	0.9189614477	0.1990812811
140	0.919076877	0.1988707594
141	0.9192611742	0.1986909408
142	0.9193868755	0.1986352708
143	0.919457556	0.198561371
144	0.9194394484	0.1983557881
145	0.9196883428	0.1981940033
146	0.9195565875	0.1980239955
147	0.9199730499	0.1978091717
148	0.9198861935	0.1976195864
149	0.9200074864	0.1974844171
150	0.9200479114	0.197428636
151	0.9201512372	0.1972474679
152	0.9202665269	0.1972043115
153	0.9202545863	0.1970780257
154	0.9204103025	0.196950851
155	0.9204447606	0.1968990967
156	0.9203579586	0.1968176406
157	0.9204162611	0.1967955697
158	0.920375847	0.196706949
159	0.920341394	0.1966930017
160	0.920381808	0.1966850727
161	0.920480485	0.1965412166
162	0.9205149315	0.1964831766
163	0.9206361085	0.1963285364
164	0.9206301688	0.1962563144
165	0.9208546945	0.1961718719
166	0.9207216649	0.1961123138
167	0.9208083832	0.1959681971
168	0.9209580838	0.1959281695
169	0.9209984656	0.1958972791
170	0.9209639997	0.1958577328
171	0.9209639997	0.1958340675
172	0.9209295364	0.1957510523
173	0.9209236181	0.1956965631
174	0.9207050107	0.1956203442
175	0.9207857811	0.1955632127
176	0.9207798526	0.1955237327
177	0.9207394656	0.1954298457
178	0.9209009953	0.1953663953
179	0.9209994763	0.1952295027
180	0.9210339281	0.1951035154
181	0.9210280199	0.1950522962
182	0.9210221108	0.1949073302
183	0.9211028394	0.1948317305
184	0.9211776589	0.1947761721
185	0.9210851263	0.1945719246
186	0.9210851263	0.19455679
187	0.9210506623	0.1945419234
188	0.9209876543	0.1944309148
189	0.9210221108	0.1943719275
190	0.9214710614	0.1941702041
191	0.9212524784	0.1941151206
192	0.9212524784	0.1940404491
193	0.9213390686	0.1939216282
194	0.9214197554	0.1937453078
195	0.9214315097	0.1936144383
196	0.9216155572	0.1933569975
197	0.9215928211	0.1933343926
198	0.9217079189	0.1932779218
199	0.9217365292	0.1932173186
200	0.9218457857	0.1931634126
201	0.9215928211	0.1930158727
202	0.9216272809	0.1929102721
