iter	Passed	Remaining
0	129	38768
1	256	38251
2	392	38814
3	545	40359
4	698	41213
5	855	41913
6	1097	45955
7	1272	46460
8	1500	48509
9	1795	52055
10	1974	51873
11	2128	51088
12	2281	50358
13	2438	49822
14	2695	51211
15	2856	50704
16	3014	50190
17	3242	50796
18	3397	50240
19	3588	50241
20	3737	49661
21	3888	49140
22	4036	48610
23	4187	48156
24	4342	47766
25	4492	47344
26	4641	46928
27	4812	46752
28	4972	46465
29	5120	46085
30	5268	45719
31	5488	45967
32	5642	45654
33	5793	45327
34	5939	44972
35	6099	44728
36	6255	44466
37	6413	44219
38	6576	44011
39	6762	43953
40	6915	43684
41	7068	43420
42	7219	43146
43	7372	42891
44	7629	43235
45	7788	43008
46	7960	42853
47	8135	42710
48	8291	42475
49	8394	41972
50	8546	41725
51	8670	41349
52	8821	41109
53	8970	40865
54	9117	40612
55	9264	40366
56	9417	40149
57	9570	39931
58	9805	40053
59	9952	39811
60	10103	39587
61	10255	39366
62	10408	39156
63	10562	38947
64	10713	38732
65	10863	38515
66	11062	38472
67	11216	38267
68	11384	38114
69	11539	37915
70	11700	37738
71	11860	37557
72	12074	37545
73	12229	37350
74	12360	37080
75	12520	36903
76	12682	36729
77	12756	36307
78	12903	36096
79	13056	35906
80	13199	35687
81	13353	35499
82	13509	35321
83	13663	35135
84	13809	34931
85	13960	34739
86	14154	34654
87	14298	34447
88	14449	34256
89	14603	34075
90	14758	33896
91	14910	33711
92	15060	33521
93	15205	33322
94	15355	33136
95	15511	32961
96	15658	32770
97	15809	32587
98	15957	32399
99	16124	32248
100	16341	32198
101	16494	32017
102	16643	31833
103	16793	31649
104	16942	31465
105	17290	31645
106	17477	31525
107	17646	31371
108	17808	31206
109	18004	31097
110	18226	31034
111	18466	30996
112	18623	30819
113	18778	30638
114	18928	30450
115	19082	30268
116	19232	30081
117	19385	29899
118	19548	29732
119	19709	29564
120	19862	29383
121	20011	29197
122	20171	29027
123	20348	28882
124	20503	28705
125	20734	28633
126	20887	28453
127	21038	28270
128	21190	28089
129	21338	27904
130	21486	27719
131	21641	27543
132	21850	27436
133	22001	27255
134	22154	27077
135	22304	26896
136	22449	26709
137	22609	26541
138	22806	26416
139	22956	26236
140	23111	26062
141	23267	25889
142	23413	25705
143	23565	25529
144	23716	25352
145	23877	25186
146	24065	25048
147	24210	24864
148	24377	24704
149	24521	24521
150	24681	24354
151	24838	24184
152	25061	24079
153	25213	23904
154	25369	23732
155	25519	23556
156	25676	23386
157	25799	23186
158	25982	23040
159	26129	22863
160	26273	22683
161	26427	22512
162	26581	22341
163	26736	22172
164	26883	21995
165	27034	21823
166	27254	21705
167	27411	21537
168	27571	21371
169	27729	21204
170	27883	21035
171	28035	20863
172	28188	20692
173	28331	20516
174	28491	20350
175	28816	20302
176	28970	20132
177	29120	19958
178	29339	19832
179	29498	19665
180	29669	19506
181	29824	19336
182	29973	19163
183	30125	18991
184	30270	18817
185	30421	18645
186	30573	18474
187	30748	18318
188	30898	18146
189	31049	17976
190	31199	17804
191	31381	17652
192	31570	17502
193	31724	17333
194	31945	17201
195	32103	17034
196	32256	16865
197	32425	16703
198	32600	16545
199	32765	16382
200	32919	16213
201	33067	16042
202	33216	15871
203	33373	15705
204	33531	15539
205	33734	15393
206	33884	15223
207	34036	15054
208	34194	14888
209	34358	14724
210	34501	14552
211	34661	14387
212	34818	14221
213	34972	14054
214	35120	13885
215	35268	13715
216	35417	13546
217	35568	13378
218	35717	13210
219	35920	13062
220	36073	12895
221	36217	12725
222	36370	12558
223	36526	12392
224	36686	12228
225	36837	12061
226	36983	11893
227	37138	11727
228	37290	11561
229	37443	11395
230	37594	11229
231	37765	11069
232	37966	10917
233	38113	10749
234	38261	10583
235	38413	10417
236	38565	10251
237	38722	10087
238	38875	9922
239	39025	9756
240	39175	9590
241	39323	9424
242	39473	9259
243	39620	9093
244	39773	8928
245	39927	8764
246	40125	8610
247	40277	8445
248	40428	8280
249	40578	8115
250	40747	7954
251	40901	7790
252	41050	7625
253	41196	7460
254	41343	7295
255	41494	7131
256	41643	6967
257	41797	6804
258	41947	6640
259	42111	6478
260	42308	6322
261	42455	6157
262	42600	5993
263	42793	5835
264	42945	5672
265	43096	5508
266	43248	5345
267	43395	5181
268	43545	5018
269	43700	4855
270	43853	4692
271	44027	4532
272	44179	4369
273	44331	4206
274	44533	4048
275	44687	3885
276	44838	3723
277	44989	3560
278	45143	3397
279	45289	3234
280	45438	3072
281	45587	2909
282	45764	2749
283	45914	2586
284	46073	2424
285	46235	2263
286	46391	2101
287	46543	1939
288	46828	1782
289	46982	1620
290	47141	1457
291	47293	1295
292	47445	1133
293	47591	971
294	47768	809
295	47918	647
296	48067	485
297	48216	323
298	48384	161
299	48533	0
