iter	F1	Logloss
0	0.8857483923	0.5650384952
1	0.8923457531	0.4751838766
2	0.8951139569	0.4222718236
3	0.8965882442	0.3725549478
4	0.8984748463	0.3441605459
5	0.9000793321	0.3174476903
6	0.8995537403	0.2989768159
7	0.8992148086	0.2850257884
8	0.9003373896	0.2748670165
9	0.9012345679	0.2666297236
10	0.9038548753	0.2599659479
11	0.9051574417	0.2552933509
12	0.906345321	0.2501072291
13	0.9079518436	0.2448304926
14	0.9077312384	0.2410795694
15	0.908075893	0.2383040103
16	0.9085554633	0.2353247219
17	0.9091252598	0.2330004589
18	0.9087610553	0.2310323697
19	0.909386459	0.2295649869
20	0.9091390528	0.2277404522
21	0.9095790947	0.2263210142
22	0.9101365924	0.2249991953
23	0.9103364748	0.2234677888
24	0.9105488105	0.222203267
25	0.9102326461	0.2213695497
26	0.9109480215	0.2203637406
27	0.9112918479	0.2194646666
28	0.9111531191	0.2188092087
29	0.9115733737	0.2180889808
30	0.9117313365	0.2173749936
31	0.9116880172	0.2168131655
32	0.9117769298	0.2161210896
33	0.9120380866	0.2155729999
34	0.9122078314	0.2148824647
35	0.9125707814	0.214317804
36	0.9126939191	0.2140990233
37	0.9131582918	0.2136265606
38	0.9130942955	0.2127563145
39	0.9132581898	0.2126079742
40	0.9134629881	0.2121034937
41	0.9138268999	0.2113007944
42	0.913848358	0.2111310324
43	0.9139582234	0.2108989557
44	0.9138568304	0.2104891221
45	0.9138028594	0.2099498938
46	0.9138997887	0.2096155459
47	0.9143913109	0.2094631515
48	0.9145830976	0.2093029963
49	0.9148912101	0.2088896374
50	0.9151839566	0.2086008034
51	0.9151238641	0.2081542254
52	0.9153692464	0.2078103891
53	0.9152312389	0.2073566785
54	0.9152312389	0.2073544455
55	0.9156490276	0.2068465255
56	0.91575616	0.2067064836
57	0.9158279619	0.2062289267
58	0.9157335143	0.2059309424
59	0.9158941895	0.2057732197
60	0.9157026039	0.2057253042
61	0.9158469945	0.2055766329
62	0.9159977388	0.2054442296
63	0.9160920839	0.2049293554
64	0.9161329214	0.2048379994
65	0.9163277602	0.2044345565
66	0.9163214582	0.2044180659
67	0.9163214582	0.2043846865
68	0.916622731	0.20423467
69	0.916622731	0.2040854842
70	0.9166635285	0.2040530213
71	0.9167168675	0.203904701
72	0.9167859026	0.2037690114
73	0.9171811474	0.2035560679
74	0.9170085438	0.2032494812
75	0.9172626666	0.2029521221
76	0.9172564373	0.2026879481
77	0.9172971956	0.2024856528
78	0.9172377438	0.2021439829
79	0.9173662613	0.2018502419
80	0.917732952	0.2014842817
81	0.9176107494	0.2012847159
82	0.9183742527	0.2008458059
83	0.9183803902	0.2006050169
84	0.918508495	0.2005374565
85	0.918508495	0.2004180324
86	0.9185775506	0.200342548
87	0.9186872674	0.2001854827
88	0.9186750385	0.2001263853
89	0.9189189189	0.1998659646
90	0.918988008	0.1997974108
91	0.9190123642	0.1996185304
92	0.9190306218	0.199398963
93	0.9192457933	0.1991466687
94	0.9193675592	0.1990298893
95	0.9194081418	0.199025422
96	0.9193899782	0.1989044486
97	0.9194305676	0.1988916896
98	0.9195747718	0.1987773136
99	0.9196499005	0.198690136
100	0.9196619718	0.1984506156
101	0.9197370892	0.1983782473
102	0.9198122066	0.1982108089
103	0.9198122066	0.1982107989
104	0.9198242518	0.1981760625
105	0.9200435648	0.1978828394
106	0.9200435648	0.1978782576
107	0.91992789	0.1976805759
108	0.9201652272	0.1975255749
109	0.9201021251	0.1973597406
110	0.9203393648	0.1970987112
111	0.9205014639	0.1967843859
112	0.9204728842	0.1966780607
113	0.9205133979	0.1966638763
114	0.9209351195	0.196433839
115	0.9208600698	0.1963015525
116	0.9210220238	0.1961617658
117	0.921016097	0.1961277298
118	0.9209588476	0.1958338928
119	0.9211898421	0.1956958761
120	0.9212766755	0.1955258958
121	0.92127077	0.1954472193
122	0.92127077	0.1953950802
123	0.9214965884	0.1951194751
124	0.9214502643	0.1950106027
125	0.9214907019	0.1949779164
126	0.9217273954	0.1947966479
127	0.9219698673	0.1945847789
128	0.9219294629	0.1945689412
129	0.9217971297	0.194406357
130	0.9216700397	0.1943309466
131	0.9218890555	0.1941239495
132	0.9217736797	0.1939721202
133	0.9218427859	0.1938188092
134	0.9219177569	0.1937567287
135	0.9220852228	0.1934123687
136	0.9223275507	0.1932086341
137	0.9223275507	0.1931064611
138	0.9223275507	0.1931020678
139	0.9224083024	0.1930426101
140	0.9224083024	0.1930426101
141	0.9224141161	0.1928763433
142	0.9224083024	0.1928711811
143	0.9226330973	0.1926444427
144	0.9228291002	0.1922692513
145	0.9229731755	0.1920337198
146	0.9229616307	0.1919436078
147	0.9232671413	0.1917170979
148	0.9232671413	0.1916906645
149	0.923439958	0.1915030987
150	0.92351487	0.1914006088
151	0.9234860118	0.1913002916
152	0.9235551893	0.1911366213
153	0.9237510299	0.1909290691
154	0.9237164364	0.1909257323
155	0.9238894299	0.1907821934
156	0.9239240364	0.1906436096
157	0.9237221494	0.1905565289
158	0.9238890345	0.190454131
159	0.923704702	0.1902254718
160	0.923704702	0.1902235617
161	0.923704702	0.1902235512
162	0.9238084541	0.1901407883
163	0.9238027483	0.1899192451
164	0.9241539383	0.1895551593
165	0.9241193426	0.1894467391
166	0.9241885366	0.1893465586
167	0.9241079786	0.1892951305
168	0.9243439524	0.1891185297
169	0.9243439524	0.1891009256
170	0.9245049968	0.1888333044
171	0.9245049968	0.188722034
172	0.9244760479	0.1886226792
173	0.9244760479	0.1886226575
174	0.9244357948	0.1886042401
175	0.9247641863	0.1882827106
176	0.9249485308	0.1880698394
177	0.9248905355	0.1877983104
178	0.924815688	0.1877651489
179	0.925115078	0.1876280691
180	0.9251206826	0.1876084228
181	0.925080458	0.1875935799
182	0.925080458	0.187587989
183	0.9251955245	0.187529291
184	0.9252301474	0.1875086828
185	0.925264773	0.1873591123
186	0.9252011225	0.1872978767
187	0.9255128013	0.1869908281
188	0.925540672	0.1868220848
189	0.9256155055	0.1866661197
190	0.9257249766	0.186520817
191	0.9256847777	0.1863989563
192	0.9257305347	0.1863321691
193	0.9257305347	0.1863276866
194	0.9257651725	0.1862455258
195	0.9259203831	0.186083094
196	0.9259605672	0.1860511988
197	0.9260062846	0.1859994704
198	0.9260464594	0.1859769964
199	0.9260464594	0.1859569888
200	0.9260866313	0.1856895372
201	0.9259425494	0.1855004203
202	0.9260921604	0.1852313962
203	0.9261835315	0.1850266401
204	0.9262236847	0.1849437674
205	0.9262528048	0.1848925279
206	0.9261433753	0.1846972892
207	0.9260741129	0.1846119349
208	0.9261087428	0.184462892
209	0.9264590421	0.1842316823
210	0.9264590421	0.1842278933
211	0.9263787624	0.1841435453
212	0.9264078977	0.184091898
213	0.9265976143	0.1839736303
214	0.9266614309	0.183816643
215	0.926736228	0.1837727814
216	0.9269076906	0.1836798157
217	0.92685663	0.1835830508
218	0.9270572401	0.1833990277
219	0.9270572401	0.1833912126
220	0.9270572401	0.1833852549
221	0.9270864493	0.183252758
222	0.9270225811	0.1830657735
223	0.9270225811	0.1830487697
224	0.9270517854	0.1828218866
225	0.9271265657	0.1827889659
226	0.9272360156	0.1826642633
227	0.9272652481	0.1826497151
228	0.927201346	0.1825079018
229	0.927201346	0.1824017239
230	0.927172125	0.1822667484
231	0.927201346	0.1821231218
232	0.9272761264	0.1820534688
233	0.9272414567	0.1820191062
234	0.9273509067	0.1819354906
235	0.9275351481	0.1818774432
236	0.9274549398	0.1817839892
237	0.9276392057	0.1817502846
238	0.9276446173	0.1817405827
239	0.9276045172	0.1816471744
240	0.9276045172	0.1816139393
241	0.9276446173	0.1815675424
242	0.927655438	0.1813979799
243	0.927954537	0.1811751295
244	0.928	0.1810776009
245	0.9280293117	0.1809824028
246	0.92809871	0.1808203565
247	0.9281441603	0.1807173701
248	0.9282242991	0.1805888926
249	0.9282697268	0.1804537733
250	0.9284085386	0.1803142498
251	0.9283738318	0.180286428
252	0.9283044258	0.1802147518
253	0.928539393	0.1801229978
254	0.928534051	0.1800555929
255	0.9285287081	0.1800456469
256	0.9285687586	0.1800042227
257	0.9286034689	0.1799378049
258	0.9287636418	0.1798421386
259	0.9287236031	0.1796516872
260	0.9287342576	0.1795661448
261	0.9287395837	0.179515288
262	0.9288143193	0.179337216
263	0.92877429	0.1793303635
264	0.9289690991	0.1792478287
265	0.928824958	0.1791893784
266	0.9288437103	0.1790980459
267	0.929153277	0.1788749978
268	0.9291479821	0.1787813036
269	0.9291079637	0.1787551827
