iter	Passed	Remaining
0	8	4402
1	15	3973
2	25	4161
3	33	4190
4	48	4753
5	58	4802
6	69	4929
7	78	4854
8	88	4851
9	98	4832
10	106	4722
11	114	4652
12	123	4628
13	130	4538
14	138	4489
15	146	4425
16	155	4430
17	164	4394
18	172	4365
19	182	4368
20	190	4334
21	198	4317
22	206	4289
23	214	4263
24	222	4218
25	231	4216
26	241	4225
27	251	4237
28	258	4198
29	268	4211
30	276	4179
31	284	4158
32	291	4120
33	299	4098
34	305	4057
35	314	4049
36	320	4007
37	327	3985
38	336	3974
39	345	3975
40	357	3997
41	366	3997
42	374	3979
43	381	3955
44	389	3941
45	396	3917
46	402	3878
47	409	3854
48	415	3827
49	423	3809
50	430	3787
51	436	3760
52	442	3733
53	447	3698
54	453	3670
55	460	3649
56	466	3622
57	472	3602
58	477	3571
59	483	3544
60	490	3531
61	497	3514
62	503	3494
63	510	3477
64	516	3458
65	523	3443
66	529	3421
67	535	3400
68	541	3384
69	547	3364
70	553	3346
71	559	3327
72	565	3306
73	571	3292
74	577	3273
75	583	3255
76	590	3245
77	598	3235
78	606	3231
79	613	3218
80	619	3207
81	626	3193
82	633	3180
83	642	3181
84	648	3168
85	656	3162
86	662	3145
87	669	3133
88	675	3120
89	681	3106
90	688	3092
91	693	3076
92	699	3061
93	705	3047
94	711	3031
95	717	3019
96	723	3005
97	729	2990
98	735	2979
99	741	2965
100	747	2953
101	754	2944
102	759	2929
103	765	2915
104	771	2902
105	776	2887
106	782	2875
107	788	2862
108	794	2848
109	800	2836
110	805	2823
111	811	2810
112	817	2798
113	822	2785
114	828	2775
115	834	2762
116	839	2749
117	845	2737
118	851	2726
119	857	2714
120	863	2703
121	868	2692
122	874	2679
123	880	2671
124	886	2659
125	892	2647
126	899	2641
127	904	2629
128	910	2618
129	916	2607
130	921	2596
131	927	2586
132	933	2576
133	939	2565
134	945	2556
135	952	2548
136	957	2536
137	963	2526
138	970	2519
139	977	2512
140	983	2505
141	990	2497
142	998	2492
143	1006	2488
144	1013	2480
145	1019	2470
146	1024	2461
147	1030	2450
148	1035	2440
149	1041	2431
150	1048	2423
151	1054	2413
152	1060	2405
153	1066	2397
154	1073	2389
155	1079	2380
156	1085	2371
157	1091	2361
158	1097	2352
159	1102	2342
160	1108	2334
161	1114	2325
162	1119	2315
163	1125	2306
164	1131	2296
165	1136	2286
166	1142	2278
167	1148	2269
168	1153	2260
169	1160	2253
170	1167	2245
171	1173	2236
172	1178	2228
173	1184	2218
174	1189	2209
175	1195	2200
176	1200	2190
177	1206	2182
178	1211	2173
179	1217	2164
180	1224	2157
181	1229	2148
182	1234	2138
183	1240	2130
184	1246	2121
185	1251	2113
186	1258	2106
187	1265	2099
188	1271	2092
189	1277	2083
190	1282	2074
191	1289	2067
192	1294	2059
193	1299	2050
194	1307	2044
195	1313	2036
196	1319	2028
197	1325	2021
198	1330	2012
199	1336	2004
200	1341	1995
201	1347	1987
202	1353	1980
203	1359	1972
204	1365	1964
205	1371	1956
206	1377	1950
207	1383	1942
208	1389	1933
209	1394	1925
210	1400	1917
211	1406	1910
212	1412	1902
213	1418	1895
214	1424	1887
215	1429	1880
216	1436	1872
217	1441	1864
218	1446	1856
219	1453	1850
220	1459	1842
221	1465	1834
222	1471	1828
223	1477	1821
224	1484	1814
225	1490	1806
226	1496	1799
227	1502	1792
228	1508	1785
229	1515	1778
230	1521	1771
231	1527	1764
232	1533	1757
233	1540	1751
234	1548	1745
235	1554	1739
236	1560	1732
237	1567	1725
238	1574	1719
239	1581	1713
240	1587	1706
241	1595	1700
242	1603	1695
243	1610	1689
244	1616	1682
245	1621	1674
246	1628	1667
247	1634	1660
248	1639	1652
249	1645	1645
250	1652	1639
251	1657	1631
252	1665	1625
253	1671	1618
254	1677	1611
255	1683	1605
256	1689	1597
257	1695	1590
258	1702	1583
259	1707	1576
260	1715	1570
261	1720	1563
262	1726	1556
263	1733	1549
264	1738	1541
265	1744	1534
266	1751	1528
267	1756	1520
268	1763	1514
269	1770	1508
270	1776	1500
271	1782	1493
272	1787	1486
273	1794	1480
274	1800	1473
275	1806	1466
276	1813	1460
277	1820	1453
278	1828	1448
279	1834	1441
280	1840	1434
281	1847	1427
282	1852	1420
283	1859	1414
284	1865	1407
285	1871	1400
286	1879	1394
287	1885	1388
288	1894	1383
289	1902	1377
290	1910	1372
291	1916	1365
292	1923	1359
293	1929	1352
294	1935	1344
295	1942	1338
296	1948	1332
297	1955	1325
298	1961	1318
299	1966	1311
300	1973	1304
301	1980	1298
302	1985	1291
303	1993	1285
304	1999	1278
305	2008	1273
306	2013	1266
307	2019	1259
308	2026	1252
309	2031	1245
310	2037	1238
311	2044	1231
312	2049	1224
313	2056	1218
314	2063	1211
315	2069	1205
316	2076	1198
317	2082	1191
318	2090	1185
319	2096	1179
320	2102	1172
321	2108	1165
322	2114	1158
323	2121	1152
324	2127	1145
325	2133	1138
326	2139	1132
327	2145	1125
328	2152	1118
329	2159	1112
330	2164	1105
331	2171	1098
332	2178	1092
333	2185	1086
334	2192	1079
335	2199	1073
336	2207	1067
337	2214	1061
338	2221	1054
339	2230	1049
340	2237	1043
341	2243	1036
342	2251	1030
343	2257	1023
344	2263	1016
345	2269	1010
346	2274	1003
347	2281	996
348	2288	990
349	2294	983
350	2301	976
351	2306	969
352	2312	962
353	2317	955
354	2323	949
355	2329	942
356	2335	935
357	2340	928
358	2346	921
359	2351	914
360	2357	907
361	2363	900
362	2368	893
363	2373	886
364	2379	880
365	2385	873
366	2390	866
367	2397	859
368	2403	853
369	2408	846
370	2415	839
371	2420	832
372	2426	826
373	2432	819
374	2437	812
375	2442	805
376	2448	798
377	2453	791
378	2458	785
379	2464	778
380	2469	771
381	2475	764
382	2482	758
383	2487	751
384	2493	744
385	2499	738
386	2505	731
387	2512	725
388	2518	718
389	2524	711
390	2531	705
391	2537	698
392	2543	692
393	2549	685
394	2554	679
395	2562	673
396	2569	666
397	2576	660
398	2582	653
399	2588	647
400	2594	640
401	2601	634
402	2606	627
403	2612	620
404	2617	614
405	2623	607
406	2628	600
407	2634	593
408	2639	587
409	2645	580
410	2650	573
411	2655	567
412	2661	560
413	2667	554
414	2673	547
415	2678	540
416	2684	534
417	2690	527
418	2695	521
419	2700	514
420	2707	508
421	2714	501
422	2720	495
423	2726	488
424	2731	482
425	2738	475
426	2744	469
427	2749	462
428	2755	456
429	2762	449
430	2767	443
431	2774	436
432	2779	430
433	2785	423
434	2791	417
435	2796	410
436	2802	404
437	2809	397
438	2814	391
439	2821	384
440	2826	378
441	2832	371
442	2840	365
443	2847	359
444	2853	352
445	2863	346
446	2872	340
447	2877	334
448	2883	327
449	2888	320
450	2894	314
451	2899	307
452	2905	301
453	2910	294
454	2916	288
455	2921	281
456	2926	275
457	2932	268
458	2938	262
459	2944	256
460	2951	249
461	2957	243
462	2962	236
463	2971	230
464	2977	224
465	2983	217
466	2989	211
467	2995	204
468	3002	198
469	3009	192
470	3015	185
471	3021	179
472	3026	172
473	3032	166
474	3038	159
475	3043	153
476	3049	147
477	3056	140
478	3061	134
479	3068	127
480	3075	121
481	3082	115
482	3088	108
483	3094	102
484	3102	95
485	3108	89
486	3116	83
487	3123	76
488	3129	70
489	3135	63
490	3140	57
491	3145	51
492	3151	44
493	3157	38
494	3162	31
495	3167	25
496	3172	19
497	3178	12
498	3183	6
499	3188	0
